Category,Sub-category,State,Proportion of people(%)
Australian Adult Alcohol Guideline 2020,Exceeded guideline(s),VIC,24.3
Australian Adult Alcohol Guideline 2020,Consumed more than 10 drinks in the last week,VIC,16.5
Australian Adult Alcohol Guideline 2020,Consumed 5 or more drinks on any day at least monthly in the last 12 months(t),VIC,17.9
Body Mass Index,Underweight (less than 18.50),VIC,1.5
Body Mass Index,Normal range (18.50–19.99),VIC,4.2
Body Mass Index,Normal range (20.00–24.99),VIC,33.3
Body Mass Index,Total Normal range (18.50–24.99),VIC,37.5
Body Mass Index,Overweight (25.00–29.99),VIC,36.5
Body Mass Index,Obesity class I (30.00–34.99),VIC,15.8
Body Mass Index,Obesity class II (35.00–39.99),VIC,6.0
Body Mass Index,Obesity class III (40.00 or more),VIC,2.7
Body Mass Index,Total Obese (30.00 or more),VIC,24.5
Body Mass Index,Total Overweight / Obese (25.00 or more),VIC,61.0
Daily consumption of fruit and vegetables,Daily consumption of fruit — Did not meet recommendation,VIC,46.8
Daily consumption of fruit and vegetables,Daily consumption of vegetables — Did not meet recommendation,VIC,93.0
Daily consumption of fruit and vegetables,Daily consumption of fruit and vegetables — Did not meet either recommendation,VIC,44.6
Daily consumption of fruit and vegetables,Daily consumption of fruit and vegetables — Did not meet at least 1 recommendation,VIC,95.2
Psychological distress,High / Very high psychological distress,VIC,14.0
Smoker Status,Never smoked,VIC,59.8
Smoker Status,Current daily smoker,VIC,9.3
2014 physical activity guidelines— physical activity excluding workplace activity,Met guidelines,VIC,24.3
2015 physical activity guidelines— physical activity excluding workplace activity,Did not meet guideline,VIC,75.3
2016 physical activity guidelines— physical activity excluding workplace activity,Zero minutes of physical activity in last week,VIC,12.4
Australian Adult Alcohol Guideline 2020,Exceeded guideline(s),ACT,27.4
Australian Adult Alcohol Guideline 2020,Consumed more than 10 drinks in the last week,ACT,18.2
Australian Adult Alcohol Guideline 2020,Consumed 5 or more drinks on any day at least monthly in the last 12 months(t),ACT,20.7
Body Mass Index,Underweight (less than 18.50),ACT,1.7
Body Mass Index,Normal range (18.50–19.99),ACT,3.7
Body Mass Index,Normal range (20.00–24.99),ACT,29.8
Body Mass Index,Total Normal range (18.50–24.99),ACT,33.8
Body Mass Index,Overweight (25.00–29.99),ACT,34.0
Body Mass Index,Obesity class I (30.00–34.99),ACT,19.0
Body Mass Index,Obesity class II (35.00–39.99),ACT,7.0
Body Mass Index,Obesity class III (40.00 or more),ACT,3.9
Body Mass Index,Total Obese (30.00 or more),ACT,29.7
Body Mass Index,Total Overweight / Obese (25.00 or more),ACT,64.0
Daily consumption of fruit and vegetables,Daily consumption of fruit — Did not meet recommendation,ACT,58.6
Daily consumption of fruit and vegetables,Daily consumption of vegetables — Did not meet recommendation,ACT,92.3
Daily consumption of fruit and vegetables,Daily consumption of fruit and vegetables — Did not meet either recommendation,ACT,55.6
Daily consumption of fruit and vegetables,Daily consumption of fruit and vegetables — Did not meet at least 1 recommendation,ACT,95.8
Psychological distress,High / Very high psychological distress,ACT,13.7
Smoker Status,Never smoked,ACT,67.6
